iso3,country,disagg.value,adult_obesity_1999,adult_obesity_2000,adult_obesity_2001,adult_obesity_2002,adult_obesity_2003,adult_obesity_2004,adult_obesity_2005,adult_obesity_2006,adult_obesity_2007,adult_obesity_2008,adult_obesity_2009,adult_obesity_2010,adult_obesity_2011,adult_obesity_2012,adult_obesity_2013,adult_obesity_2014,adult_obesity_2015,adult_obesity_2016
CHL,Chile,Female,23.35,23.78,24.22,24.66,25.10,25.54,25.98,26.43,26.87,27.32,27.77,28.22,28.67,29.12,29.58,30.03,30.49,30.95
CHL,Chile,Male,16.67,17.13,17.58,18.04,18.50,18.97,19.43,19.91,20.38,20.86,21.35,21.83,22.33,22.82,23.32,23.83,24.35,24.87
CHN,China,Female,2.80,2.95,3.11,3.28,3.46,3.64,3.84,4.05,4.26,4.49,4.72,4.96,5.20,5.45,5.71,5.97,6.25,6.52
CHN,China,Male,1.64,1.77,1.92,2.08,2.25,2.44,2.64,2.85,3.08,3.33,3.59,3.86,4.15,4.46,4.78,5.13,5.49,5.87
CIV,Côte d’Ivoire,Female,7.77,8.11,8.45,8.82,9.20,9.59,10.00,10.42,10.85,11.29,11.74,12.21,12.68,13.16,13.65,14.15,14.66,15.18
CIV,Côte d’Ivoire,Male,2.25,2.37,2.51,2.66,2.81,2.98,3.15,3.34,3.53,3.74,3.95,4.18,4.42,4.67,4.93,5.21,5.51,5.81
CMR,Cameroon,Female,8.50,8.88,9.28,9.70,10.12,10.56,11.01,11.46,11.93,12.40,12.88,13.37,13.86,14.36,14.87,15.39,15.91,16.45
CMR,Cameroon,Male,2.45,2.60,2.76,2.92,3.10,3.27,3.46,3.66,3.86,4.07,4.29,4.51,4.75,5.00,5.26,5.53,5.81,6.11
COD,Democratic Republic of the Congo,Female,4.41,4.63,4.87,5.11,5.36,5.63,5.90,6.19,6.48,6.79,7.11,7.44,7.78,8.13,8.50,8.87,9.26,9.67
COD,Democratic Republic of the Congo,Male,1.29,1.37,1.46,1.55,1.65,1.75,1.86,1.97,2.10,2.22,2.36,2.50,2.66,2.82,2.99,3.17,3.37,3.57
COG,Congo,Female,7.53,7.82,8.11,8.42,8.73,9.05,9.38,9.72,10.06,10.41,10.77,11.13,11.51,11.89,12.28,12.68,13.08,13.50
COG,Congo,Male,2.24,2.37,2.50,2.64,2.79,2.95,3.11,3.28,3.46,3.65,3.85,4.05,4.27,4.49,4.73,4.98,5.24,5.52
COL,Colombia,Female,19.10,19.51,19.93,20.35,20.77,21.20,21.63,22.06,22.49,22.93,23.38,23.82,24.28,24.74,25.20,25.67,26.15,26.63
COL,Colombia,Male,10.31,10.68,11.06,11.45,11.84,12.23,12.64,13.04,13.46,13.88,14.31,14.75,15.19,15.65,16.11,16.59,17.08,17.58
COM,Comoros,Female,6.27,6.53,6.79,7.06,7.34,7.63,7.94,8.25,8.58,8.92,9.27,9.64,10.02,10.42,10.83,11.26,11.71,12.17
COM,Comoros,Male,1.56,1.63,1.70,1.78,1.86,1.94,2.02,2.11,2.20,2.30,2.40,2.51,2.62,2.74,2.87,3.00,3.14,3.30
CPV,Cabo Verde,Female,8.55,8.96,9.37,9.80,10.23,10.67,11.11,11.56,12.02,12.48,12.94,13.41,13.89,14.37,14.85,15.34,15.83,16.32
CPV,Cabo Verde,Male,2.67,2.85,3.04,3.23,3.43,3.64,3.86,4.09,4.33,4.57,4.83,5.09,5.36,5.64,5.93,6.24,6.56,6.89
CRI,Costa Rica,Female,18.53,19.14,19.79,20.45,21.13,21.83,22.55,23.27,23.99,24.72,25.45,26.18,26.89,27.60,28.30,29.00,29.69,30.36
CRI,Costa Rica,Male,10.04,10.53,11.05,11.60,12.17,12.77,13.39,14.03,14.68,15.35,16.04,16.73,17.44,18.15,18.86,19.59,20.33,21.06
CUB,Cuba,Female,22.92,23.35,23.77,24.20,24.63,25.06,25.49,25.92,26.35,26.78,27.21,27.65,28.09,28.53,28.98,29.43,29.89,30.35
CUB,Cuba,Male,10.87,11.26,11.66,12.07,12.49,12.92,13.36,13.81,14.27,14.74,15.21,15.70,16.21,16.72,17.25,17.80,18.36,18.94
CYP,Cyprus,Female,17.41,17.71,18.00,18.28,18.54,18.80,19.06,19.30,19.54,19.77,20.00,20.23,20.45,20.68,20.91,21.14,21.38,21.63
CYP,Cyprus,Male,14.62,15.05,15.48,15.90,16.32,16.74,17.15,17.57,17.98,18.39,18.80,19.22,19.64,20.06,20.49,20.93,21.39,21.85
CZE,Czechia,Female,22.15,22.28,22.41,22.56,22.72,22.88,23.06,23.24,23.43,23.63,23.84,24.05,24.26,24.49,24.72,24.95,25.19,25.44
CZE,Czechia,Male,19.03,19.40,19.78,20.16,20.56,20.97,21.38,21.80,22.23,22.66,23.11,23.55,24.01,24.47,24.94,25.41,25.89,26.39
